,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
46,Elblag,54.1522,19.4088,72.97,71,61,8.41,PL,1660424695
47,Arraial do Cabo,-22.9661,-42.0278,69.66,64,0,12.66,BR,1660424867
48,Pevek,69.7008,170.3133,34.16,81,82,7.0,RU,1660424870
49,Bluff,-46.6,168.3333,44.8,75,10,21.12,NZ,1660424871
50,Arcoverde,-8.4189,-37.0539,66.81,80,82,10.98,BR,1660424873
51,Port Alfred,-33.5906,26.891,54.54,85,28,6.2,ZA,1660424874
52,Jamestown,42.097,-79.2353,75.02,54,96,5.01,US,1660424370
53,Airai,-8.9266,125.4092,55.9,69,5,3.6,TL,1660424663
54,Qaanaaq,77.484,-69.3632,42.46,71,100,13.44,GL,1660424879
55,Alta Floresta,-9.8756,-56.0861,95.63,18,10,2.21,BR,1660424880
56,Houma,29.5958,-90.7195,90.0,72,89,8.01,US,1660424881
57,Williston,48.147,-103.618,89.04,43,10,5.99,US,1660424487
58,Souillac,-20.5167,57.5167,69.46,67,95,17.2,MU,1660424885
59,São José da Coroa Grande,-8.8978,-35.1478,74.97,71,79,12.95,BR,1660424886
60,Cape Town,-33.9258,18.4232,53.89,79,45,10.0,ZA,1660424888
61,Namatanai,-3.6667,152.4333,78.58,77,100,5.06,PG,1660424889
62,Lebu,-37.6167,-73.65,53.2,89,100,18.72,CL,1660424890
63,Geraldton,-28.7667,114.6,48.61,93,38,12.66,AU,1660424892
64,Koslan,63.4564,48.8989,54.12,59,100,4.27,RU,1660424893
65,Lüderitz,-26.6481,15.1594,53.83,80,16,7.72,NA,1660424894
66,Kruisfontein,-34.0033,24.7314,43.88,83,1,7.78,ZA,1660424896
67,Hilo,19.7297,-155.09,89.28,73,100,5.01,US,1660424865
68,Mejorada del Campo,40.3928,-3.4819,77.72,50,0,6.91,ES,1660424898
69,Qandala,11.472,49.8728,89.31,53,100,7.58,SO,1660424900
70,Dikson,73.5069,80.5464,44.83,100,100,7.36,RU,1660424901
71,Zharkent,44.1628,80.0,68.7,33,0,7.31,KZ,1660424870
72,Inuvik,68.3499,-133.7218,76.42,33,46,6.33,CA,1660424903
73,Nahrin,36.0649,69.1334,71.31,31,4,1.03,AF,1660424905
74,Lavrentiya,65.5833,-171.0,39.51,69,83,14.85,RU,1660424907
75,Kambove,-10.8764,26.5969,62.4,39,37,3.09,CD,1660424908
76,San Quintín,30.4833,-115.95,77.43,70,6,10.16,MX,1660424624
77,Tiksi,71.6872,128.8694,40.1,90,44,16.93,RU,1660424911
78,Agen,44.2,0.6333,80.69,69,100,13.8,FR,1660424912
79,Aksarka,66.5606,67.7975,46.87,82,71,10.96,RU,1660424914
80,Touros,-5.1989,-35.4608,76.78,74,12,16.87,BR,1660424915
81,Palmer,42.1584,-72.3287,76.77,45,75,12.66,US,1660424916
82,Sugbongcogon,8.9553,124.7853,78.82,81,83,5.08,PH,1660424918
83,Rawson,-43.3002,-65.1023,62.13,39,99,33.15,AR,1660424919
84,Atuona,-9.8,-139.0333,77.52,72,13,19.86,PF,1660424921
85,Springbok,-29.6643,17.8865,42.51,91,70,10.09,ZA,1660424922
86,Hasaki,35.7333,140.8333,79.2,86,66,19.91,JP,1660424923
87,Kavaratti,10.5669,72.642,81.1,79,100,12.97,IN,1660424925
88,Tilichiki,60.4667,166.1,57.24,87,100,3.22,RU,1660424926
89,Den Chai,17.9837,100.0522,72.99,98,53,1.16,TH,1660424927
90,Saint-Philippe,-21.3585,55.7679,67.59,73,53,14.94,RE,1660424932
91,Ancud,-41.8697,-73.8203,46.87,79,41,22.88,CL,1660424933
92,Pisco,-13.7,-76.2167,65.01,82,0,10.36,PE,1660424935
93,Rosendal,59.9867,6.0135,64.53,82,7,2.01,NO,1660424936
94,Upernavik,72.7868,-56.1549,45.57,71,100,5.91,GL,1660424937
95,Mendi,-6.1761,143.6513,52.34,97,67,3.18,PG,1660424940
96,Bereket,39.2446,55.5154,85.26,17,0,7.76,TM,1660424941
97,Hithadhoo,-0.6,73.0833,82.49,75,90,6.26,MV,1660424942
98,Vila Velha,-20.3297,-40.2925,73.35,65,75,4.61,BR,1660424944
99,Bredasdorp,-34.5322,20.0403,48.83,82,98,14.52,ZA,1660424945
100,Ugoofaaru,5.6667,73.0,81.63,76,24,9.31,MV,1660424946
101,Fairbanks,64.8378,-147.7164,73.09,62,0,1.01,US,1660424846
102,Villa María,-32.4075,-63.2402,73.81,47,2,12.73,AR,1660424949
103,Takhli,15.2634,100.3438,81.75,89,78,5.06,TH,1660424950
104,Grand Gaube,-20.0064,57.6608,68.38,67,92,8.99,MU,1660424954
105,Port-Gentil,-0.7193,8.7815,73.36,88,40,10.36,GA,1660424843
106,College,64.8569,-147.8028,73.08,63,75,0.0,US,1660424715
107,Saint Anthony,45.0205,-93.218,71.49,68,100,13.8,US,1660424957
108,Hermanus,-34.4187,19.2345,51.8,70,52,22.66,ZA,1660424959
109,Labuhan,-6.8844,112.2051,77.88,87,72,6.11,ID,1660424961
110,Moerai,-22.4333,-151.3333,74.3,86,89,12.53,PF,1660424963
111,Iqaluit,63.7506,-68.5145,52.7,66,99,11.01,CA,1660424964
112,Havøysund,70.9963,24.6622,50.23,79,100,12.57,NO,1660424965
113,Saskylakh,71.9167,114.0833,42.93,72,47,4.21,RU,1660424907
114,Vestmanna,62.1564,-7.1664,50.92,87,100,6.91,FO,1660424968
115,Nome,64.5011,-165.4064,51.87,82,100,8.05,US,1660424969
116,Cabo San Lucas,22.8909,-109.9124,94.6,73,62,3.0,MX,1660424970
117,Batagay,67.6333,134.6333,43.84,87,82,3.67,RU,1660424855
118,Coronel Vivida,-25.9797,-52.5678,60.08,80,100,3.65,BR,1660424973
119,Yārāda,17.65,83.2667,80.4,82,100,12.73,IN,1660424974
120,New Norfolk,-42.7826,147.0587,51.93,87,100,8.01,AU,1660424976
121,Rondonópolis,-16.4708,-54.6356,89.19,17,0,2.95,BR,1660424978
122,Bandarbeyla,9.4942,50.8122,76.62,81,44,31.83,SO,1660424979
123,Esperance,-33.8667,121.9,55.33,83,61,21.23,AU,1660424981
124,Port Said,31.2565,32.2841,80.49,72,0,14.79,EG,1660424921
125,Longyearbyen,78.2186,15.6401,42.64,87,75,10.36,SJ,1660424983
126,George Town,5.4112,100.3354,79.9,85,20,4.61,MY,1660424747
127,Kavieng,-2.5744,150.7967,80.51,77,100,8.7,PG,1660424986
128,Thompson,55.7435,-97.8558,77.31,28,4,2.26,CA,1660424987
129,Nemuro,43.3236,145.575,66.67,97,100,6.6,JP,1660424867
130,Tonantins,-2.8731,-67.8022,83.93,69,77,1.83,BR,1660424989
131,Leningradskiy,69.3833,178.4167,34.66,80,89,6.4,RU,1660424991
132,Dingle,10.9995,122.6711,76.42,91,100,2.26,PH,1660424993
133,Evanston,42.0411,-87.6901,78.94,56,75,18.41,US,1660424741
134,Plouzané,48.3833,-4.6167,68.32,66,100,11.5,FR,1660424996
135,Ostrovnoy,68.0531,39.5131,48.13,83,66,5.91,RU,1660424999
136,Flin Flon,54.7682,-101.865,79.29,30,0,2.59,CA,1660425001
137,Provideniya,64.3833,-173.3,44.38,72,99,5.19,RU,1660425002
138,Codrington,-38.2667,141.9667,49.26,89,85,12.06,AU,1660425003
139,Diré,12.2833,-10.9667,72.93,97,90,3.22,ML,1660425005
140,Palana,59.1167,159.9667,56.3,84,97,5.01,RU,1660425006
141,Isangel,-19.55,169.2667,73.98,74,60,16.4,VU,1660424922
142,Luba,3.4568,8.5547,76.5,87,100,12.24,GQ,1660425010
143,Sioux Lookout,50.1001,-91.917,82.27,34,33,6.11,CA,1660425011
144,Talnakh,69.4865,88.3972,51.21,60,96,9.01,RU,1660425012
145,Vitim,59.4511,112.5578,44.64,95,3,1.52,RU,1660425014
146,Tasiilaq,65.6145,-37.6368,41.16,61,8,5.91,GL,1660424924
147,Te Anau,-45.4167,167.7167,35.87,88,47,0.98,NZ,1660425016
148,Lorengau,-2.0226,147.2712,81.59,73,100,6.33,PG,1660425018
149,Ust-Tsilma,65.441,52.1498,51.17,75,97,9.37,RU,1660425019
150,Shenjiamen,29.9576,122.298,80.78,88,100,21.47,CN,1660425020
151,Weligama,5.9667,80.4167,78.44,88,83,10.11,LK,1660425022
152,Sānchor,24.7553,71.7722,80.78,79,95,13.58,IN,1660425023
153,Acapulco de Juárez,16.8634,-99.8901,85.82,70,75,10.36,MX,1660425024
154,Jalu,29.0331,21.5482,83.25,53,0,14.18,LY,1660425026
155,Ciudad del Carmen,18.6333,-91.8333,91.44,55,20,10.36,MX,1660425027
156,Taoudenni,22.6783,-3.9836,94.3,28,16,23.13,ML,1660425028
157,Luján,-34.5703,-59.105,70.02,63,9,8.79,AR,1660424811
158,Beloha,-25.1667,45.05,65.53,62,0,6.29,MG,1660425031
159,The Pas,53.8251,-101.2541,76.84,43,35,1.5,CA,1660425032
160,Mana,5.6592,-53.7767,82.27,75,57,13.87,GF,1660425034
161,Portland,45.5234,-122.6762,81.57,49,20,6.91,US,1660425030
162,Grindavik,63.8424,-22.4338,50.47,76,75,5.75,IS,1660425037
163,Japura,-0.3167,102.35,74.48,97,100,1.97,ID,1660425039
164,General Roca,-39.0333,-67.5833,65.44,26,60,15.93,AR,1660425040
165,Iquitos,-3.7481,-73.2472,91.44,52,40,3.44,PE,1660425041
166,Gijang,35.2442,129.2139,79.07,88,65,7.45,KR,1660425043
167,Xinzhou,38.4092,112.7333,71.76,98,100,1.34,CN,1660425044
168,Loukhi,66.0764,33.0381,50.5,69,6,5.44,RU,1660425045
169,Linxia Chengguanzhen,35.6003,103.2064,67.51,87,100,1.21,CN,1660425047
170,Tuktoyaktuk,69.4541,-133.0374,57.33,67,88,5.68,CA,1660425048
171,Camocim,-2.9022,-40.8411,79.83,72,41,19.86,BR,1660425049
172,Klaksvík,62.2266,-6.589,52.72,87,100,7.85,FO,1660425051
173,Abu Dhabi,24.4667,54.3667,95.11,57,0,3.44,AE,1660424896
174,Swellendam,-34.0226,20.4417,49.28,75,100,9.31,ZA,1660425053
175,Santa Cruz de Tenerife,28.4682,-16.2546,77.59,83,75,18.41,ES,1660425054
176,Escárcega,18.6089,-90.7454,99.27,30,95,3.62,MX,1660425057
177,Faya,18.3851,42.4509,68.52,63,96,7.4,SA,1660425058
178,Port Macquarie,-31.4333,152.9167,42.89,74,0,6.96,AU,1660425060
179,Kalmunai,7.4167,81.8167,79.88,82,100,3.18,LK,1660425061
180,Neiafu,-18.65,-173.9833,77.68,61,20,5.75,TO,1660425062
181,Mlyniv,50.509,25.6168,67.93,95,54,8.61,UA,1660425064
182,Pizarro,4.9533,-77.366,80.33,79,86,6.93,CO,1660425065
183,Torbay,47.6666,-52.7314,68.76,88,78,5.01,CA,1660425066
184,Rosarito,32.3333,-117.0333,93.67,67,37,7.87,MX,1660425068
185,Moshupa,-24.7782,25.4155,61.92,18,20,11.14,BW,1660425069
186,Coahuayana Viejo,18.7333,-103.6833,86.16,69,76,7.34,MX,1660425070
187,Mahébourg,-20.4081,57.7,68.25,65,92,20.11,MU,1660425072
188,Salalah,17.0151,54.0924,73.49,100,100,3.44,OM,1660425073
189,Jumla,29.2747,82.1838,60.58,92,27,2.15,NP,1660425074
190,Cockburn Town,21.4612,-71.1419,82.38,75,38,13.47,TC,1660425076
191,Chui,-33.6971,-53.4616,58.08,90,14,5.44,UY,1660425078
192,Ribeira Grande,38.5167,-28.7,77.0,84,8,8.05,PT,1660425080
193,Tshela,-4.9833,12.9333,66.9,80,3,2.33,CD,1660425082
194,Cherskiy,68.75,161.3,43.61,63,100,5.66,RU,1660424935
195,Hong Kong,22.2855,114.1577,82.33,90,6,2.42,HK,1660424919
196,Ganzhou,28.8184,115.4327,80.98,65,85,4.72,CN,1660425086
197,Nouadhibou,20.931,-17.0347,72.73,87,17,15.03,MR,1660425087
198,Lamu,-2.2717,40.902,75.42,87,64,15.32,KE,1660425088
199,Yerofey Pavlovich,53.9667,121.9667,50.49,95,12,1.68,RU,1660425090
200,Nānākuli,21.3906,-158.1547,85.37,51,20,11.5,US,1660425091
201,Stornoway,58.2093,-6.3865,55.36,93,100,4.61,GB,1660425092
202,St. George's,12.0564,-61.7485,81.28,80,100,7.99,GD,1660425094
203,Barabai,-2.5833,115.3833,71.94,97,97,0.96,ID,1660425095
204,Andenes,69.3143,16.1194,51.93,71,75,25.32,NO,1660425098
205,Muros,42.7762,-9.0603,62.49,91,2,1.83,ES,1660425099
206,Kaitangata,-46.2817,169.8464,39.22,84,7,9.6,NZ,1660425100
207,Butaritari,3.0707,172.7902,81.03,78,25,15.84,KI,1660425102
208,Amfiklia,38.6333,22.5833,73.54,58,31,2.39,GR,1660425103
209,Turan,16.0678,108.2208,78.78,89,20,2.3,VN,1660424944
210,Nāngloi Jāt,28.6833,77.0667,90.34,94,40,4.61,IN,1660425107
211,Usinsk,65.9939,57.5281,46.13,80,81,13.71,RU,1660425108
212,Bethel,41.3712,-73.414,79.65,49,75,11.5,US,1660425109
213,Øksfjord,70.2396,22.3479,51.98,77,100,6.22,NO,1660425111
214,Aklavik,68.2191,-135.0107,69.84,45,34,14.74,CA,1660425113
215,Tamisan,6.8437,126.2984,78.48,86,75,5.12,PH,1660425114
216,Goba,7.0167,39.9833,52.99,94,80,2.01,ET,1660425116
217,Bang Yai,13.8434,100.3625,82.02,84,78,4.59,TH,1660425117
218,Manama,26.2154,50.5832,98.58,44,0,3.44,BH,1660424556
219,Aykhal,66.0,111.5,44.98,82,100,6.29,RU,1660425120
220,Sitka,57.0531,-135.33,60.69,77,100,10.36,US,1660425121
221,Río Gallegos,-51.6226,-69.2181,37.45,81,100,19.57,AR,1660425122
222,Muscat,23.6139,58.5922,89.62,66,97,13.33,OM,1660425124
223,Mound,44.9366,-93.6661,71.47,37,17,11.81,US,1660424989
224,Pitsunda,43.1592,40.3378,77.18,76,0,3.47,GE,1660425126
225,Shingū,33.7333,135.9833,79.25,89,98,5.5,JP,1660425127
226,Macusani,-14.0833,-70.4333,46.31,56,47,9.24,PE,1660425129
227,Henties Bay,-22.116,14.2845,54.75,85,5,13.24,NA,1660425130
228,Jinka,5.65,36.65,65.26,75,91,1.16,ET,1660425131
229,Mehamn,71.0357,27.8492,49.95,87,100,8.05,NO,1660424897
230,Goderich,43.7501,-81.7165,69.91,62,99,5.55,CA,1660425134
231,Diapaga,12.0708,1.7889,78.57,79,79,7.07,BF,1660425135
232,Tupik,54.4253,119.9327,50.29,91,14,3.58,RU,1660425137
233,Foam Lake,51.65,-103.5343,87.57,34,8,6.42,CA,1660424900
234,San Patricio,28.017,-97.5169,93.18,50,99,10.67,US,1660425139
235,Port Shepstone,-30.7414,30.455,62.42,81,100,3.69,ZA,1660425015
236,Yulara,-25.2406,130.9889,47.32,46,0,4.25,AU,1660425142
237,Lagoa,39.05,-27.9833,75.47,86,0,11.3,PT,1660425143
238,Kangaatsiaq,68.3065,-53.4641,43.79,75,100,12.24,GL,1660425144
239,São João Evangelista,-18.5478,-42.7633,62.65,63,10,5.1,BR,1660425146
240,Kanniyākumāri,8.0833,77.5667,79.11,75,82,19.66,IN,1660425147
241,Porto-Novo,6.4965,2.6036,76.06,84,100,11.16,BJ,1660425148
242,Santa Isabel,-23.3156,-46.2214,71.31,66,0,1.74,BR,1660425150
243,Puerto Quijarro,-17.7833,-57.7667,89.51,29,18,2.73,BO,1660425072
244,Lyuban',52.7985,28.0048,65.97,80,100,7.72,BY,1660425152
245,Cutervo,-6.379,-78.8157,65.95,43,11,6.24,PE,1660425153
246,Makkah al Mukarramah,21.4267,39.8261,92.07,33,100,3.11,SA,1660425155
247,Tabas,33.5959,56.9244,82.45,17,0,6.71,IR,1660425156
248,Mahibadhoo,3.7833,72.9667,80.8,77,56,3.15,MV,1660425157
249,Batagay-Alyta,67.8006,130.4114,42.51,82,43,1.95,RU,1660425159
250,Faanui,-16.4833,-151.75,78.08,75,64,12.8,PF,1660425160
251,Tabou,4.423,-7.3528,75.54,83,39,9.89,CI,1660425161
252,Diffa,13.3154,12.6113,75.11,84,67,7.67,NE,1660425163
253,Trofors,65.5333,13.4063,51.67,83,100,3.11,NO,1660425164
254,Hervey Bay,-25.2986,152.8535,56.5,75,1,7.23,AU,1660424952
255,Bubaque,11.2833,-15.8333,79.16,80,100,16.98,GW,1660425167
256,Guerrero Negro,27.9769,-114.0611,85.32,51,1,13.2,MX,1660425168
257,Borogontsy,62.6683,131.1683,57.33,96,100,4.79,RU,1660425169
258,Nanzhang,31.7765,111.8386,81.99,68,92,3.51,CN,1660425171
259,Constitución,-35.3333,-72.4167,54.82,84,80,9.37,CL,1660425172
260,Phan Thiet,10.9333,108.1,76.23,85,18,5.46,VN,1660425173
261,Innisfail,-17.5333,146.0333,64.4,85,98,4.74,AU,1660425175
262,Jati,24.3539,68.2671,80.01,84,91,13.11,PK,1660425176
263,Karasjok,69.4719,25.5112,52.92,69,100,5.88,NO,1660425177
264,Cap Malheureux,-19.9842,57.6142,68.47,67,89,8.99,MU,1660425179
265,Medicine Hat,50.0501,-110.6683,94.21,25,0,1.01,CA,1660424926
266,Khorixas,-20.3667,14.9667,58.08,45,0,7.05,NA,1660425181
267,Arys,42.4252,68.795,80.29,26,0,17.92,KZ,1660425182
268,Bambous Virieux,-20.3428,57.7575,68.22,64,94,19.86,MU,1660425184
269,Maceió,-9.6658,-35.7353,80.04,69,40,10.36,BR,1660425185
270,Kibondo,-3.5864,30.7203,70.95,41,99,2.59,TZ,1660425187
271,Emerald,-23.5333,148.1667,51.24,73,0,6.82,AU,1660425188
272,Katsuura,35.1333,140.3,80.8,85,58,23.82,JP,1660425189
273,Cabra,37.4725,-4.4421,86.67,38,73,4.99,ES,1660425191
274,Haines Junction,60.7522,-137.5108,68.29,51,90,9.55,CA,1660425192
275,Talcahuano,-36.7167,-73.1167,55.08,94,100,13.8,CL,1660425049
276,Itarema,-2.9248,-39.9167,78.31,75,100,18.39,BR,1660425196
277,Biak,-0.9131,122.8766,75.4,86,78,6.17,ID,1660425197
278,Ferkessédougou,9.6,-5.2,71.38,94,99,1.97,CI,1660425198
279,Benito Juarez,19.385,-99.165,76.82,40,40,11.01,MX,1660425200
280,Zhigansk,66.7697,123.3711,47.01,79,100,13.78,RU,1660425201
281,Opuwo,-18.0607,13.84,62.64,27,0,6.35,NA,1660425202
282,Afyonkarahisar,38.75,30.6667,67.8,66,45,5.93,TR,1660425204
283,Tautira,-17.7333,-149.15,77.18,78,84,14.92,PF,1660425205
284,La Ronge,55.1001,-105.2842,66.49,47,67,5.19,CA,1660425206
285,Sri Aman,1.2376,111.4621,71.55,99,100,3.58,MY,1660425208
286,Sept-Îles,50.2001,-66.3821,68.05,68,69,3.0,CA,1660425209
287,Oktyabr'skiy,54.4815,53.471,61.34,69,98,6.51,RU,1660425210
288,Hirara,24.8,125.2833,85.15,72,66,9.73,JP,1660425212
289,Mayo,38.8876,-76.5119,86.11,46,0,8.05,US,1660425213
290,Guozhen,34.3659,107.359,82.11,65,100,3.76,CN,1660425214
291,Nelson Bay,-32.7167,152.15,52.0,80,10,13.0,AU,1660425216
292,Port Hedland,-20.3167,118.5667,64.45,72,22,8.05,AU,1660425217
293,Ürümqi,43.801,87.6005,70.75,43,0,4.47,CN,1660425218
294,Joniškis,56.2403,23.6153,65.32,81,2,6.55,LT,1660425221
295,Norman Wells,65.282,-126.8329,84.99,24,6,8.66,CA,1660425222
296,New Orleans,29.9547,-90.0751,91.99,66,75,23.02,US,1660425000
297,Viloco,-16.95,-67.55,54.52,34,31,8.34,BO,1660425226
298,Champerico,14.3,-91.9167,84.31,67,91,6.29,GT,1660425227
299,Maltahöhe,-24.8333,16.9833,48.97,51,10,7.36,NA,1660425228
300,Sabzawār,36.2126,57.6819,75.04,22,0,8.3,IR,1660425230
301,Narsaq,60.9167,-46.05,50.22,95,100,1.32,GL,1660425231
302,Roebourne,-20.7833,117.1333,69.01,63,37,5.64,AU,1660425232
303,Camapuã,-19.5314,-54.0439,81.66,21,0,1.23,BR,1660425234
304,Matara,5.9485,80.5353,78.12,89,79,9.91,LK,1660425235
305,Mangochi,-14.4782,35.2645,70.43,50,1,1.77,MW,1660425236
306,Vao,-22.6667,167.4833,71.31,63,100,20.02,NC,1660425238
307,Blenheim,-41.516,173.9528,41.52,75,1,1.01,NZ,1660425240
308,Homer,59.6425,-151.5483,55.78,83,100,6.91,US,1660424960
309,Karlskoga,59.3267,14.5239,65.71,63,41,1.34,SE,1660425243
310,Necoclí,8.4234,-76.786,84.27,69,29,6.04,CO,1660425244
311,Bereda,43.2686,-7.5406,61.14,87,2,2.64,ES,1660425245
312,Kabompo,-13.5927,24.2008,60.03,36,0,4.18,ZM,1660425247
313,Baykit,61.67,96.37,42.87,89,1,3.15,RU,1660425248
314,Emba,48.8264,58.1442,78.64,29,0,4.99,KZ,1660425249
315,Riyadh,24.6877,46.7219,96.94,14,76,9.31,SA,1660425214
316,Teknāf,20.8624,92.3058,78.64,91,100,15.52,BD,1660425252
317,Ereymentau,51.6199,73.1033,63.45,63,48,7.63,KZ,1660425253
318,Bismarck,46.8083,-100.7837,82.24,54,75,6.91,US,1660425255
319,Abonnema,4.7084,6.7931,75.24,90,100,7.76,NG,1660425256
320,Hof,50.3167,11.9167,65.62,79,40,5.99,DE,1660425257
321,Antropovo,58.3988,43.0066,61.48,77,57,4.45,RU,1660425259
322,Gorontalo,0.5412,123.0595,74.28,95,61,3.02,ID,1660425260
323,Ensenada,31.8667,-116.6167,78.94,76,42,9.13,MX,1660425262
324,Meulaboh,4.1363,96.1285,78.64,83,88,0.58,ID,1660425263
325,Svetlaya,46.5389,138.3297,62.64,86,37,4.94,RU,1660425264
326,Gigmoto,13.7796,124.39,80.42,82,97,2.98,PH,1660425266
327,Road Town,18.4167,-64.6167,87.89,70,20,6.91,VG,1660425189
328,Hobyo,5.3505,48.5268,76.35,84,21,21.7,SO,1660425268
329,Mahon,39.8885,4.2658,82.96,83,0,3.44,ES,1660425270
330,Birjand,32.8663,59.2211,69.85,24,2,6.51,IR,1660425271
331,San Jerónimo,-11.9472,-75.2829,62.58,40,61,9.31,PE,1660425272
332,Mbumi,-7.9058,39.2105,70.9,85,15,4.83,TZ,1660425274
333,Kununurra,-15.7667,128.7333,60.78,82,9,0.0,AU,1660425275
334,De-Kastri,51.4667,140.7833,59.67,88,100,1.12,RU,1660425276
335,San Cristobal,7.7669,-72.225,75.38,67,81,5.26,VE,1660424985
336,Dhidhdhoo,6.8833,73.1,81.5,79,69,10.83,MV,1660425280
337,Aventura,25.9565,-80.1392,88.02,73,75,6.91,US,1660425281
338,Den Helder,52.9599,4.7593,75.96,75,0,11.99,NL,1660425283
339,Conceição do Araguaia,-8.2578,-49.2647,95.7,20,19,8.34,BR,1660425285
340,Yerbogachën,61.2767,108.0108,44.98,83,89,1.86,RU,1660425286
341,Troutdale,45.5393,-122.3873,80.96,49,0,6.91,US,1660425288
342,San Fernando del Valle de Catamarca,-28.4696,-65.7852,78.78,26,0,11.01,AR,1660425289
343,Gimli,50.6336,-96.9907,81.48,50,69,5.21,CA,1660425290
344,Saint-Pierre,-21.3393,55.4781,67.91,65,0,5.75,RE,1660425292
345,Okhotsk,59.3833,143.3,57.63,95,100,5.46,RU,1660425293
346,Luanda,-8.8368,13.2343,69.8,83,75,2.3,AO,1660425294
347,Kulhudhuffushi,6.6221,73.07,81.27,79,35,10.69,MV,1660425296
348,Alyangula,-13.8483,136.4192,70.79,77,26,12.44,AU,1660425297
349,Caravelas,-17.7125,-39.2481,71.8,60,100,9.04,BR,1660425298
350,Taitung City,22.7583,121.1444,80.89,83,12,3.87,TW,1660425300
351,Broome,42.2506,-75.833,79.66,38,20,8.05,US,1660425301
352,Yangi Marg`ilon,40.4272,71.7189,74.12,49,0,4.61,UZ,1660425302
353,Alofi,-19.0595,-169.9187,75.09,60,100,10.36,NU,1660425304
354,Dukat,62.55,155.55,57.63,69,93,4.61,RU,1660425305
355,Vila Franca do Campo,37.7167,-25.4333,78.19,91,10,4.68,PT,1660425308
356,Necochea,-38.5473,-58.7368,58.48,59,58,9.71,AR,1660425309
